manufacturer,releaseyear,memsize,gpuclock,memclock,unifiedshader,tmu,rop,g3dmark,g2dmark,tdp,powerperformance,performance_per_watt,performance_per_gb,performance_per_shader,gpu_age,performance_category
0,2022.0,4.0,1560,1313.0,10752.0,336,112,9445,910,65.0,19.155,19.155714285714286,2361.25,0.8784412202380952,4.0,0
0,2022.0,4.0,1395,1219.0,10496.0,328,112,6958,899,65.0,19.155,19.155714285714286,1739.5,0.6629192073170732,4.0,0
0,2022.0,4.0,1080,2000.0,10240.0,320,96,5916,621,65.0,19.155,19.155714285714286,1479.0,0.577734375,4.0,0
2,2022.0,24.0,1980,1313.0,7168.0,224,80,29094,1117,450.0,64.65,64.65333333333334,1212.25,4.058872767857143,4.0,0
0,2022.0,8.0,1440,945.0,4096.0,256,64,11989,829,65.0,19.155,19.155714285714286,1498.625,2.927001953125,4.0,0
2,2021.0,24.0,735,1500.0,2560.0,80,48,22867,984,230.0,99.42,99.4217391304348,952.7916666666666,8.932421875,5.0,0
2,2021.0,12.0,1607,1376.0,2560.0,160,64,26887,1031,350.0,76.82,76.82,2240.583333333333,10.502734375,5.0,0
2,2021.0,20.0,950,1500.0,2048.0,128,32,21546,892,200.0,107.73,107.73,1077.3,10.5205078125,5.0,0
2,2021.0,16.0,723,1250.0,2048.0,128,32,18988,938,140.0,135.63,135.62857142857143,1186.75,9.271484375,5.0,0
0,2021.0,32.0,1506,2002.0,1920.0,120,64,18802,914,250.0,75.208,75.208,587.5625,9.792708333333334,5.0,0
2,2021.0,8.0,960,1750.0,1920.0,120,48,23367,1003,290.0,80.58,80.57586206896552,2920.875,12.1703125,5.0,0
2,2021.0,6.0,1124,1500.0,512.0,32,16,13128,928,65.0,19.155,19.155714285714286,2188.0,25.640625,5.0,0
0,2021.0,12.0,1100,1500.0,512.0,32,16,9012,643,145.0,62.15,62.15172413793103,751.0,17.6015625,5.0,0
0,2021.0,12.0,980,1500.0,512.0,32,16,18993,1014,230.0,82.58,82.57826086956521,1582.75,37.095703125,5.0,0
2,2021.0,12.0,1000,1375.0,512.0,32,16,16958,951,170.0,99.76,99.7529411764706,1413.1666666666667,33.12109375,5.0,0
0,2021.0,10.0,725,800.0,480.0,24,8,11499,550,65.0,19.155,19.155714285714286,1149.9,23.95625,5.0,0
2,2021.0,4.0,600,800.0,480.0,24,16,6509,738,65.0,19.155,19.155714285714286,1627.25,13.560416666666669,5.0,0
2,2021.0,4.0,600,800.0,480.0,24,8,7829,831,65.0,19.155,19.155714285714286,1957.25,16.310416666666665,5.0,0
0,2021.0,8.0,598,794.0,480.0,24,8,9094,698,65.0,19.155,19.155714285714286,1136.75,18.945833333333333,5.0,0
0,2021.0,8.0,500,600.0,480.0,24,8,15853,1003,160.0,99.08,99.08125,1981.625,33.02708333333333,5.0,0
0,2021.0,8.0,650,500.0,480.0,24,8,13881,945,65.0,19.155,19.155714285714286,1735.125,28.91875,5.0,0
0,2021.0,8.0,300,900.0,448.0,28,8,14212,1006,65.0,19.155,19.155714285714286,1776.5,31.723214285714285,5.0,0
2,2021.0,2.0,500,800.0,48.0,16,8,3627,561,65.0,19.155,19.155714285714286,1813.5,75.5625,5.0,0
0,2021.0,1.024,425,275.0,384.0,4,4,1438,349,65.0,19.155,19.155714285714286,1404.296875,3.7447916666666665,5.0,1
0,2021.0,1.024,300,275.0,384.0,4,2,1593,421,65.0,19.155,19.155714285714286,1555.6640625,4.1484375,5.0,1
0,2021.0,1.024,275,275.0,384.0,4,4,1296,353,65.0,19.155,19.155714285714286,1265.625,3.375,5.0,1
0,2020.0,16.0,1320,1875.0,3584.0,112,64,16853,720,250.0,67.41,67.412,1053.3125,4.702287946428571,6.0,0
0,2020.0,8.0,1365,1750.0,3072.0,192,64,10200,702,50.0,204.0,204.0,1275.0,3.3203125,6.0,0
2,2020.0,48.0,930,1375.0,2560.0,160,64,22122,832,300.0,73.74,73.74,460.875,8.64140625,6.0,0
2,2020.0,24.0,824,1250.0,2560.0,160,64,26395,999,350.0,75.41,75.41428571428571,1099.7916666666667,10.310546875,6.0,0
2,2020.0,10.0,1192,1500.0,2048.0,64,48,24853,1003,320.0,77.66,77.665625,2485.3,12.13525390625,6.0,0
0,2020.0,16.0,960,1353.0,1920.0,120,48,25458,1102,300.0,84.86,84.86,1591.125,13.259375,6.0,0
0,2020.0,16.0,1607,1251.0,1920.0,120,64,23364,1078,300.0,77.88,77.88,1460.25,12.16875,6.0,0
0,2020.0,16.0,1506,1001.0,1920.0,120,64,20667,1030,250.0,82.67,82.668,1291.6875,10.7640625,6.0,0
0,2020.0,16.0,1202,1901.0,1792.0,112,64,12537,831,130.0,96.43,96.43846153846154,783.5625,6.99609375,6.0,0
0,2020.0,8.0,1328,1753.0,1792.0,112,64,11844,829,130.0,91.11,91.1076923076923,1480.5,6.609375,6.0,0
2,2020.0,8.0,1700,1750.0,1792.0,112,64,22093,969,220.0,100.42,100.42272727272729,2761.625,12.328683035714286,6.0,0
2,2020.0,8.0,2068,1750.0,1792.0,112,64,20206,961,200.0,101.03,101.03,2525.75,11.275669642857142,6.0,0
0,2020.0,6.0,1087,1253.0,512.0,32,32,7157,537,150.0,47.72,47.71333333333333,1192.8333333333333,13.978515625,6.0,0
0,2020.0,6.0,1020,1253.0,512.0,32,16,13836,914,150.0,92.24,92.24,2306.0,27.0234375,6.0,0
0,2020.0,4.0,574,783.0,448.0,56,48,2010,533,85.0,23.65,23.647058823529413,502.5,4.486607142857143,6.0,1
0,2020.0,8.0,574,783.0,448.0,56,48,9269,896,125.0,74.15,74.152,1158.625,20.689732142857142,6.0,0
0,2020.0,8.0,574,783.0,448.0,56,48,8298,628,65.0,19.155,19.155714285714286,1037.25,18.522321428571427,6.0,0
0,2020.0,4.0,574,773.0,448.0,56,48,7522,663,65.0,19.155,19.155714285714286,1880.5,16.790178571428573,6.0,0
0,2020.0,3.0,530,800.0,48.0,24,16,7611,854,100.0,76.11,76.11,2537.0,158.5625,6.0,0
2,2020.0,2.0,550,790.0,48.0,16,8,2855,243,65.0,19.155,19.155714285714286,1427.5,59.47916666666666,6.0,0
2,2020.0,2.0,500,790.0,48.0,16,8,2855,243,65.0,19.155,19.155714285714286,1427.5,59.47916666666666,6.0,0
2,2020.0,2.0,475,790.0,48.0,16,8,2547,234,65.0,19.155,19.155714285714286,1273.5,53.0625,6.0,0
0,2020.0,1.024,275,270.0,384.0,8,8,1029,310,65.0,19.155,19.155714285714286,1004.8828125,2.6796875,6.0,1
0,2019.0,16.0,1417,1251.0,3584.0,224,96,16767,788,300.0,55.89,55.89,1047.9375,4.678292410714286,7.0,0
0,2019.0,32.0,930,1215.0,3584.0,224,96,14738,827,65.0,19.155,19.155714285714286,460.5625,4.112165178571429,7.0,0
0,2019.0,16.0,1365,1750.0,3072.0,192,64,14630,948,65.0,19.155,19.155714285714286,914.375,4.762369791666667,7.0,0
0,2019.0,8.0,1620,1750.0,3072.0,192,64,11504,821,65.0,19.155,19.155714285714286,1438.0,3.7447916666666665,7.0,0
0,2019.0,8.0,1000,1695.0,1792.0,112,32,16650,965,235.0,70.85,70.85106382978724,2081.25,9.291294642857142,7.0,0
0,2019.0,8.0,926,1650.0,1792.0,112,32,16892,955,225.0,75.08,75.07555555555555,2111.5,9.426339285714286,7.0,0
0,2019.0,8.0,930,1600.0,1792.0,56,24,14729,926,180.0,81.83,81.82777777777778,1841.125,8.219308035714286,7.0,0
0,2019.0,8.0,1065,1500.0,1792.0,56,32,15085,908,205.0,73.59,73.58536585365853,1885.625,8.41796875,7.0,0
0,2019.0,8.0,900,1375.0,1792.0,112,32,7540,698,150.0,50.27,50.266666666666666,942.5,4.207589285714286,7.0,0
2,2019.0,8.0,827,1250.0,1792.0,112,32,19519,934,250.0,78.08,78.076,2439.875,10.892299107142858,7.0,0
2,2019.0,8.0,850,1250.0,1792.0,112,32,18168,896,215.0,84.5,84.50232558139535,2271.0,10.138392857142858,7.0,0
2,2019.0,8.0,800,1250.0,1792.0,112,32,16514,881,175.0,94.37,94.36571428571428,2064.25,9.215401785714286,7.0,0
2,2019.0,6.0,800,1125.0,512.0,32,16,13953,752,160.0,87.2,87.20625,2325.5,27.251953125,7.0,0
